maDiaDiem,tenDiaDiem,moTa,diaChi,maTinhThanh,tenTinhThanh,loaiDiaDiem,viDo,kinhDo,giaVe,gioMoCua,gioDongCua,dienThoai,website,danhGiaTrungBinh,soLuotDanhGia,soLuotXem,maNguoiTao,tenNguoiTao,ngayTao,lanCapNhatCuoi,trangThai,dacDiem,tienNghi
50541,Library Hai Phong,Địa điểm library tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,21.281272813893217,107.02116597278852,,,,,,5.0,5,0,,,2025-11-04 13:38:22,2025-11-04 14:18:46,active,"{""category"": ""library"", ""source"": """", ""image_url"": null, ""province"": null}",
50336,Lăng Chủ tịch Hồ Chí Minh và Quảng trường Ba Đình,"Nơi an nghỉ của Chủ tịch Hồ Chí Minh, là biểu tượng lịch sử và chính trị quan trọng nhất của Việt Nam.","Số 2 Hùng Vương, Điện Biên, Ba Đình, Hà Nội",79,Hà Nội,dia_danh,21.03673,105.834689,,7:30 - 10:30,,,,4.6,5,1,,,2025-11-02 18:33:16,2025-11-04 14:18:46,active,"Công trình kiến trúc vĩ đại, nghi lễ thượng cờ",
50338,Phố Cổ Hà Nội (Khu 36 phố phường),"Khu vực buôn bán sầm uất với kiến trúc cổ kính, là nơi tập trung tinh hoa ẩm thực và văn hóa truyền thống Hà Nội.","Các phố Hàng Ngang, Hàng Đào, Mã Mây, Tạ Hiện (Quận Hoàn Kiếm)",79,Hà Nội,dia_danh,21.033575,105.851944,,Cả ngày,,,,4.6,5,1,,,2025-11-02 18:33:16,2025-11-04 14:18:47,active,"Kiến trúc nhà ống cổ, chợ đêm, phố bia Tạ Hiện","Ẩm thực đường phố, mua sắm"
50374,Dốc Thẩm Mã,"Dốc Thẩm Mã là một trong những con dốc nổi tiếng và hiểm trở nhất trên cung đường Hạnh Phúc, thuộc Cao nguyên đá Đồng Văn, Hà Giang. Với 9 khúc cua tay áo liên tiếp, dốc uốn lượn mềm mại như dải lụa vắt ngang sườn núi, tạo nên một cảnh quan hùng vĩ và ngoạn mục. Đây là điểm dừng chân lý tưởng để du khách chiêm ngưỡng vẻ đẹp của núi rừng Đông Bắc, chụp ảnh check-in và trải nghiệm cảm giác chinh phục những cung đường đèo thách thức, đặc biệt là vào mùa hoa tam giác mạch hoặc mùa lúa chín.","Quốc lộ 4C, xã Pải Lủng, huyện Đồng Văn, tỉnh Hà Giang, Việt Nam",80,Hà Giang,dia_danh,22.79918,105.01985,,00:00,24:00,,,4.6,5,0,,,2025-11-02 19:15:58,2025-11-04 14:18:45,active,"9 khúc cua tay áo, cảnh quan núi đá hùng vĩ, điểm check-in nổi tiếng, cung đường đèo hiểm trở, tầm nhìn bao quát thung lũng.","Chỗ dừng chân ngắm cảnh, quán nước nhỏ và hàng bán đồ lưu niệm của người dân địa phương."
50424,Seaside Nha Trang,Thông tin về Seaside Nha Trang tại Thanh Hoa. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Thanh Hoa, Việt Nam",130,Thanh Hóa,nha_hang,19.785064041756776,105.67558263585232,,,,,,4.6,5,0,,,2025-11-04 13:34:48,2025-11-04 14:18:47,active,"{""category"": ""traditional_restaurant"", ""source"": """", ""image_url"": null, ""province"": null}",
50445,Ho Bai Bien,Thông tin về Ho Bai Bien tại Quang Tri. Đây là một địa điểm nổi tiếng với nhiều hoạt động và trải nghiệm thú vị.,"Quang Tri, Việt Nam",131,Thừa Thiên Huế,dia_danh,16.73530480505683,107.33833541299605,30000.0,,,,,4.6,5,0,,,2025-11-04 13:34:54,2025-11-04 14:18:46,active,"{""category"": ""waterfall"", ""source"": """", ""image_url"": null, ""province"": null}",
50540,River Hai Phong,Địa điểm river tại Hai Phong,"Hai Phong, Việt Nam",87,Hải Phòng,dia_danh,21.177979201657404,106.45157347511405,,,,,,4.6,5,0,,,2025-11-04 13:38:22,2025-11-04 14:18:47,active,"{""category"": ""river"", ""source"": """", ""image_url"": null, ""province"": null}",
50559,Bien Thanh Thanh Hoa,Điểm đến waterfall tại Thanh Hoa,"Thanh Hoa, Việt Nam",130,Thanh Hóa,dia_danh,19.906482596468543,106.12200781529938,30000.0,,,,,4.6,5,0,,,2025-11-04 13:38:28,2025-11-04 14:18:46,active,"{""category"": ""waterfall"", ""source"": """", ""image_url"": null, ""province"": null}",
50342,Nhà thờ Lớn Hà Nội,"Công trình kiến trúc Gothic cổ kính được xây dựng từ cuối thế kỷ 19, là nơi sinh hoạt tôn giáo và điểm check-in nổi tiếng.","40 Nhà Chung, Hàng Trống, Hoàn Kiếm, Hà Nội",79,Hà Nội,dia_danh,21.026362,105.851083,,Tham quan bên ngoài: Cả ngày,,,,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Kiến trúc Gothic, khu vực cà phê",Các dịch vụ giải trí xung quanh
50343,Hoàng thành Thăng Long,"Di sản Văn hóa Thế giới, khu di tích lịch sử quan trọng, chứng kiến thăng trầm của các triều đại phong kiến Việt Nam.","19 Hoàng Diệu, Điện Biên, Ba Đình, Hà Nội",79,Hà Nội,dia_danh,21.037861,105.836066,30000.0,08:00 - 17:00,,+84 24 3734 5440,http://www.hoangthanhthanglong.vn/,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Khu di tích khảo cổ, Cột cờ Hà Nội, Đoan Môn",Khu vực trưng bày
50349,Làng cổ Đường Lâm,"Làng cổ đầu tiên được Nhà nước công nhận là Di tích lịch sử văn hóa quốc gia, nổi tiếng với kiến trúc nhà cổ bằng đá ong.","Thị xã Sơn Tây, Hà Nội (cách trung tâm khoảng 44km)",79,Hà Nội,dia_danh,21.146914,105.421596,20000.0,08:00 - 17:00,,,,4.5,0,0,,,2025-11-02 18:33:16,2025-11-02 18:33:16,active,"Nhà cổ đá ong, Đình Mông Phụ, chùa Mía","Homestay, dịch vụ ăn uống"
