name,city,rating,types,latitude,longitude,description,category,price_level,food_type,specialties
Cong Caphe,Hanoi,4.3,"['cafe', 'vintage', 'hipster']",21.0255,105.8542,"Quán cafe vintage phong cách cổ điển","vintage_cafe",2.0,"Coffee","['ca_phe_sua_da', 'ca_phe_trung']"
Highlands Coffee,Hanoi,4.2,"['cafe', 'chain', 'modern']",21.0255,105.8542,"Chuỗi cafe hiện đại","chain_cafe",2.0,"Coffee","['ca_phe_sua_da', 'tra_sua']"
The Coffee House,Hanoi,4.4,"['cafe', 'chain', 'contemporary']",21.0255,105.8542,"Chuỗi cafe đương đại","contemporary_cafe",2.0,"Coffee","['ca_phe_sua_da', 'tra_sua', 'desserts']"
Trill Rooftop Cafe,Hanoi,4.5,"['cafe', 'rooftop', 'view']",21.0255,105.8542,"Cafe rooftop với view đẹp","rooftop_cafe",3.0,"Coffee","['ca_phe_sua_da', 'cocktails', 'view']"
Loading T Cafe,Hanoi,4.3,"['cafe', 'gaming', 'youth']",21.0255,105.8542,"Cafe gaming cho giới trẻ","gaming_cafe",2.0,"Coffee","['ca_phe_sua_da', 'tra_sua', 'gaming']"
Phuc Long Tea & Coffee,Ho Chi Minh City,4.4,"['cafe', 'tea', 'traditional']",10.7796,106.6992,"Chuỗi trà và cafe truyền thống","tea_cafe",2.0,"Tea_Coffee","['tra_sua', 'ca_phe_sua_da']"
Starbucks Vietnam,Ho Chi Minh City,4.2,"['cafe', 'international', 'chain']",10.7796,106.6992,"Chuỗi cafe quốc tế","international_cafe",3.0,"Coffee","['latte', 'cappuccino', 'frappuccino']"
The Workshop Coffee,Ho Chi Minh City,4.5,"['cafe', 'specialty', 'artisan']",10.7796,106.6992,"Cafe specialty artisan","specialty_cafe",3.0,"Coffee","['pour_over', 'cold_brew', 'espresso']"
Saigon Coffee Roastery,Ho Chi Minh City,4.6,"['cafe', 'roastery', 'premium']",10.7796,106.6992,"Cafe roastery cao cấp","premium_cafe",4.0,"Coffee","['single_origin', 'pour_over', 'espresso']"
L'Usine Cafe,Ho Chi Minh City,4.3,"['cafe', 'french', 'brunch']",10.7796,106.6992,"Cafe Pháp với brunch","french_cafe",3.0,"Coffee_Food","['croissant', 'coffee', 'brunch']"
Reaching Out Tea House,Hoi An,4.7,"['tea_house', 'traditional', 'peaceful']",15.8786049,108.3348312,"Trà quán truyền thống yên tĩnh","traditional_tea_house",2.0,"Tea","['tra_dao', 'tra_sen', 'tra_cuc']"
Hoi An Roastery,Hoi An,4.4,"['cafe', 'roastery', 'local']",15.8786049,108.3348312,"Cafe roastery địa phương","local_roastery",2.0,"Coffee","['ca_phe_sua_da', 'pour_over']"
Cocobox,Hoi An,4.3,"['cafe', 'healthy', 'organic']",15.8786049,108.3348312,"Cafe healthy organic","healthy_cafe",2.0,"Coffee_Smoothies","['smoothies', 'coffee', 'healthy_food']"
Mia Coffee,Hoi An,4.2,"['cafe', 'local', 'traditional']",15.8786049,108.3348312,"Cafe địa phương truyền thống","local_cafe",1.0,"Coffee","['ca_phe_sua_da', 'ca_phe_den']"
Faifo Coffee,Hoi An,4.5,"['cafe', 'heritage', 'cultural']",15.8786049,108.3348312,"Cafe di sản văn hóa","heritage_cafe",2.0,"Coffee","['ca_phe_sua_da', 'cultural_tours']"
Cafe Muối,Hue,4.4,"['cafe', 'salt_coffee', 'famous']",16.4689732,107.578125,"Cafe muối nổi tiếng","salt_coffee_cafe",2.0,"Coffee","['ca_phe_muoi', 'ca_phe_sua_da']"
Cafe On Thuong,Hue,4.3,"['cafe', 'traditional', 'local']",16.4689732,107.578125,"Cafe truyền thống địa phương","traditional_cafe",1.0,"Coffee","['ca_phe_sua_da', 'ca_phe_den']"
Cafe Bach Ma,Hue,4.2,"['cafe', 'mountain', 'nature']",16.4689732,107.578125,"Cafe trên núi Bạch Mã","mountain_cafe",2.0,"Coffee","['ca_phe_sua_da', 'mountain_view']"
Cafe Xua,Hue,4.1,"['cafe', 'vintage', 'nostalgic']",16.4689732,107.578125,"Cafe xưa hoài cổ","vintage_cafe",1.0,"Coffee","['ca_phe_sua_da', 'nostalgic_atmosphere']"
Cafe Hoang Cung,Hue,4.0,"['cafe', 'royal', 'historic']",16.4689732,107.578125,"Cafe hoàng cung lịch sử","royal_cafe",2.0,"Coffee","['ca_phe_sua_da', 'royal_atmosphere']"
Wonderlust Cafe,Da Nang,4.5,"['cafe', 'modern', 'instagram']",16.0567,108.2456,"Cafe hiện đại Instagram-worthy","modern_cafe",2.0,"Coffee","['latte_art', 'frappuccino', 'desserts']"
43 Factory Coffee Roaster,Da Nang,4.6,"['cafe', 'roastery', 'specialty']",16.0567,108.2456,"Cafe roastery specialty","specialty_roastery",3.0,"Coffee","['single_origin', 'pour_over', 'espresso']"
Memory Lounge,Da Nang,4.4,"['cafe', 'lounge', 'evening']",16.0567,108.2456,"Cafe lounge buổi tối","evening_lounge",3.0,"Coffee_Cocktails","['coffee', 'cocktails', 'live_music']"
Cafe Central,Da Nang,4.3,"['cafe', 'central', 'busy']",16.0567,108.2456,"Cafe trung tâm sầm uất","central_cafe",2.0,"Coffee","['ca_phe_sua_da', 'tra_sua']"
Cafe Ocean,Da Nang,4.2,"['cafe', 'beachfront', 'ocean']",16.0567,108.2456,"Cafe bãi biển","beachfront_cafe",2.0,"Coffee","['ca_phe_sua_da', 'ocean_view']"
Windmill Cafe,Nha Trang,4.4,"['cafe', 'windmill', 'unique']",12.2388,109.1967,"Cafe cối xay gió độc đáo","unique_cafe",2.0,"Coffee","['ca_phe_sua_da', 'unique_atmosphere']"
Sailing Club Cafe,Nha Trang,4.5,"['cafe', 'beachfront', 'sailing']",12.2388,109.1967,"Cafe bãi biển sailing","beachfront_cafe",3.0,"Coffee_Cocktails","['coffee', 'cocktails', 'beach_view']"
Cafe Hon Chong,Nha Trang,4.3,"['cafe', 'rock', 'nature']",12.2388,109.1967,"Cafe hòn Chồng","nature_cafe",2.0,"Coffee","['ca_phe_sua_da', 'nature_view']"
Cafe Ocean View,Nha Trang,4.2,"['cafe', 'ocean', 'view']",12.2388,109.1967,"Cafe view biển","ocean_view_cafe",2.0,"Coffee","['ca_phe_sua_da', 'ocean_view']"
Cafe Central Nha Trang,Nha Trang,4.1,"['cafe', 'central', 'local']",12.2388,109.1967,"Cafe trung tâm địa phương","local_cafe",1.0,"Coffee","['ca_phe_sua_da', 'local_atmosphere']"
Windy Cafe,Da Lat,4.6,"['cafe', 'windy', 'mountain']",11.9404,108.4583,"Cafe gió trên núi","mountain_cafe",2.0,"Coffee","['ca_phe_sua_da', 'mountain_view']"
Cafe Tùng,Da Lat,4.5,"['cafe', 'pine', 'forest']",11.9404,108.4583,"Cafe rừng thông","forest_cafe",2.0,"Coffee","['ca_phe_sua_da', 'forest_atmosphere']"
Cafe Memory,Da Lat,4.4,"['cafe', 'memory', 'nostalgic']",11.9404,108.4583,"Cafe ký ức hoài cổ","nostalgic_cafe",2.0,"Coffee","['ca_phe_sua_da', 'nostalgic_atmosphere']"
Cafe Central Da Lat,Da Lat,4.3,"['cafe', 'central', 'local']",11.9404,108.4583,"Cafe trung tâm địa phương","local_cafe",1.0,"Coffee","['ca_phe_sua_da', 'local_atmosphere']"
Cafe Flower,Da Lat,4.2,"['cafe', 'flower', 'garden']",11.9404,108.4583,"Cafe hoa trong vườn","garden_cafe",2.0,"Coffee","['ca_phe_sua_da', 'flower_garden']"
Cafe Sunset,Phu Quoc,4.5,"['cafe', 'sunset', 'beachfront']",10.2899,103.9840,"Cafe hoàng hôn bãi biển","sunset_cafe",3.0,"Coffee_Cocktails","['coffee', 'cocktails', 'sunset_view']"
Cafe Ocean Phu Quoc,Phu Quoc,4.4,"['cafe', 'ocean', 'beachfront']",10.2899,103.9840,"Cafe biển Phú Quốc","beachfront_cafe",2.0,"Coffee","['ca_phe_sua_da', 'ocean_view']"
Cafe Central Phu Quoc,Phu Quoc,4.3,"['cafe', 'central', 'local']",10.2899,103.9840,"Cafe trung tâm địa phương","local_cafe",1.0,"Coffee","['ca_phe_sua_da', 'local_atmosphere']"
Cafe Island,Phu Quoc,4.2,"['cafe', 'island', 'tropical']",10.2899,103.9840,"Cafe đảo nhiệt đới","island_cafe",2.0,"Coffee","['ca_phe_sua_da', 'tropical_atmosphere']"
Cafe Beach,Phu Quoc,4.1,"['cafe', 'beach', 'relaxing']",10.2899,103.9840,"Cafe bãi biển thư giãn","relaxing_cafe",2.0,"Coffee","['ca_phe_sua_da', 'beach_atmosphere']"
