maTinhThanh,tenTinhThanh,moTa,anhDaiDien,viDo,kinhDo,created_at,updated_at
1,An Giang,Tỉnh thành An Giang. Thủ phủ: Long Xuyên,,10.3696,105.4345,2025-10-29 22:12:37.603962,2025-11-04 15:32:59.082558
63,Bà Rịa – Vũng Tàu,Tỉnh thành Bà Rịa – Vũng Tàu. Thủ phủ: Bà Rịa. (thuộc Thành phố Hồ Chí Minh),,10.4297,107.1363,2025-11-04 15:27:13.735338,2025-11-04 15:32:59.127577
19,Bình Dương,Tỉnh thành Bình Dương. Thủ phủ: Thủ Dầu Một. (thuộc Thành phố Hồ Chí Minh),,10.969,106.655,2025-11-04 14:16:48.047801,2025-11-04 15:32:59.135135
20,Bình Phước,Tỉnh thành Bình Phước. Thủ phủ: Đồng Xoài. (thuộc Đồng Nai),,11.5364,106.9864,2025-11-04 14:16:48.060093,2025-11-04 15:32:59.135135
21,Bình Thuận,Tỉnh thành Bình Thuận. Thủ phủ: Phan Thiết. (thuộc Lâm Đồng),,10.9448,108.091,2025-11-04 14:16:48.064748,2025-11-04 15:32:59.136138
18,Bình Định,Tỉnh thành Bình Định. Thủ phủ: Quy Nhơn. (thuộc Gia Lai),,13.7825,109.2191,2025-11-04 14:16:48.047801,2025-11-04 15:32:59.134099
14,Bạc Liêu,Tỉnh thành Bạc Liêu. Thủ phủ: Bạc Liêu. (thuộc Cà Mau),,9.2877,105.7246,2025-11-04 14:16:48.005098,2025-11-04 15:32:59.129083
15,Bắc Giang,Tỉnh thành Bắc Giang. Thủ phủ: Bắc Giang. (thuộc Bắc Ninh),,21.2738,106.1966,2025-11-04 14:16:48.014649,2025-11-04 15:32:59.130090
9,Bắc Kạn,Tỉnh thành Bắc Kạn. Thủ phủ: Bắc Kạn. (thuộc Thái Nguyên),,22.133,105.839,2025-11-02 19:06:12.324032,2025-11-04 15:32:59.131097
16,Bắc Ninh,Tỉnh thành Bắc Ninh. Thủ phủ: Bắc Ninh,,21.1868,106.0718,2025-11-04 14:16:48.020674,2025-11-04 15:32:59.090327
17,Bến Tre,Tỉnh thành Bến Tre. Thủ phủ: Bến Tre. (thuộc Vĩnh Long),,10.2361,106.3741,2025-11-04 14:16:48.026531,2025-11-04 15:32:59.132096
