name,city,rating,types,latitude,longitude,description,category,price_level,amenities,room_types
Sofitel Legend Metropole Hanoi,Hanoi,4.8,"['hotel', 'luxury', 'historic']",21.0255,105.8542,"Khách sạn 5 sao lịch sử với kiến trúc Pháp cổ điển","luxury_hotel",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'concierge']","['deluxe', 'suite', 'presidential']"
InterContinental Hanoi Westlake,Hanoi,4.6,"['hotel', 'luxury', 'lakefront']",21.0455,105.8242,"Khách sạn 5 sao bên hồ Tây với view đẹp","luxury_hotel",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'lake_view']","['deluxe', 'suite', 'lake_villa']"
Hanoi Daewoo Hotel,Hanoi,4.4,"['hotel', 'business', 'modern']",21.0255,105.8542,"Khách sạn 5 sao hiện đại cho doanh nhân","business_hotel",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'business_center']","['deluxe', 'suite', 'executive']"
Hotel de l'Opera Hanoi,Hanoi,4.5,"['hotel', 'boutique', 'cultural']",21.0255,105.8542,"Khách sạn boutique với phong cách opera","boutique_hotel",4.0,"['wifi', 'spa', 'restaurant', 'cultural_tours']","['deluxe', 'suite', 'opera_suite']"
Hanoi La Siesta Hotel,Hanoi,4.3,"['hotel', 'midrange', 'traditional']",21.0255,105.8542,"Khách sạn 4 sao với phong cách truyền thống","midrange_hotel",3.0,"['wifi', 'restaurant', 'tour_desk']","['standard', 'deluxe', 'family']"
The Reverie Saigon,Ho Chi Minh City,4.9,"['hotel', 'luxury', 'modern']",10.7796,106.6992,"Khách sạn 5 sao sang trọng nhất TP.HCM","luxury_hotel",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'rooftop_bar']","['deluxe', 'suite', 'penthouse']"
Park Hyatt Saigon,Ho Chi Minh City,4.7,"['hotel', 'luxury', 'colonial']",10.7796,106.6992,"Khách sạn 5 sao với kiến trúc thuộc địa","luxury_hotel",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'colonial_style']","['deluxe', 'suite', 'colonial_suite']"
Sheraton Saigon Hotel,Ho Chi Minh City,4.5,"['hotel', 'business', 'modern']",10.7796,106.6992,"Khách sạn 5 sao cho doanh nhân","business_hotel",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'business_center']","['deluxe', 'suite', 'executive']"
Hotel Nikko Saigon,Ho Chi Minh City,4.4,"['hotel', 'business', 'japanese']",10.7796,106.6992,"Khách sạn 5 sao phong cách Nhật Bản","business_hotel",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'gym', 'japanese_service']","['deluxe', 'suite', 'executive']"
Liberty Central Saigon Citypoint,Ho Chi Minh City,4.2,"['hotel', 'midrange', 'modern']",10.7796,106.6992,"Khách sạn 4 sao hiện đại trung tâm","midrange_hotel",3.0,"['wifi', 'restaurant', 'gym', 'city_view']","['standard', 'deluxe', 'family']"
Four Seasons Resort The Nam Hai,Hoi An,4.9,"['resort', 'luxury', 'beachfront']",15.8786049,108.3348312,"Resort 5 sao bãi biển sang trọng","luxury_resort",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access', 'villa']","['villa', 'suite', 'beach_villa']"
Anantara Hoi An Resort,Hoi An,4.6,"['resort', 'luxury', 'riverside']",15.8786049,108.3348312,"Resort 5 sao bên sông Thu Bồn","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'river_view', 'cultural_tours']","['deluxe', 'suite', 'river_villa']"
Hoi An Silk Marina Resort & Spa,Hoi An,4.4,"['resort', 'midrange', 'beachfront']",15.8786049,108.3348312,"Resort 4 sao bãi biển với spa","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'family']"
Hoi An Ancient House Resort,Hoi An,4.3,"['resort', 'boutique', 'traditional']",15.8786049,108.3348312,"Resort boutique phong cách cổ điển","boutique_resort",3.0,"['wifi', 'spa', 'restaurant', 'cultural_tours']","['deluxe', 'suite', 'ancient_house']"
Palm Garden Beach Resort & Spa,Hoi An,4.2,"['resort', 'midrange', 'beachfront']",15.8786049,108.3348312,"Resort 4 sao với vườn cọ","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access', 'garden']","['standard', 'deluxe', 'garden_villa']"
Azerai La Residence Hue,Hue,4.7,"['hotel', 'luxury', 'historic']",16.4689732,107.578125,"Khách sạn 5 sao trong cung điện cổ","luxury_hotel",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'historic_tours']","['deluxe', 'suite', 'imperial_suite']"
Pilgrimage Village Boutique Resort,Hue,4.5,"['resort', 'boutique', 'spiritual']",16.4689732,107.578125,"Resort boutique với không gian tâm linh","boutique_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'meditation', 'yoga']","['deluxe', 'suite', 'spiritual_villa']"
Saigon Morin Hotel,Hue,4.3,"['hotel', 'historic', 'colonial']",16.4689732,107.578125,"Khách sạn lịch sử với kiến trúc thuộc địa","historic_hotel",3.0,"['wifi', 'restaurant', 'historic_tours']","['standard', 'deluxe', 'colonial_suite']"
Moonlight Hotel Hue,Hue,4.1,"['hotel', 'midrange', 'modern']",16.4689732,107.578125,"Khách sạn 4 sao hiện đại","midrange_hotel",2.0,"['wifi', 'restaurant', 'gym']","['standard', 'deluxe', 'family']"
InterContinental Danang Sun Peninsula Resort,Da Nang,4.8,"['resort', 'luxury', 'beachfront']",16.0567,108.2456,"Resort 5 sao bãi biển sang trọng","luxury_resort",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access', 'golf']","['villa', 'suite', 'beach_villa']"
Fusion Maia Da Nang,Da Nang,4.6,"['resort', 'luxury', 'wellness']",16.0567,108.2456,"Resort 5 sao tập trung wellness","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'wellness_programs']","['deluxe', 'suite', 'wellness_villa']"
Hyatt Regency Danang Resort & Spa,Da Nang,4.5,"['resort', 'luxury', 'beachfront']",16.0567,108.2456,"Resort 5 sao với spa chuyên nghiệp","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['deluxe', 'suite', 'beach_villa']"
Pullman Danang Beach Resort,Da Nang,4.3,"['resort', 'midrange', 'beachfront']",16.0567,108.2456,"Resort 4 sao bãi biển hiện đại","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'family']"
Novotel Danang Premier Han River,Da Nang,4.2,"['hotel', 'business', 'riverside']",16.0567,108.2456,"Khách sạn 4 sao bên sông Hàn","business_hotel",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'business_center']","['standard', 'deluxe', 'executive']"
Vinpearl Resort & Spa Nha Trang,Nha Trang,4.7,"['resort', 'luxury', 'beachfront']",12.2388,109.1967,"Resort 5 sao với đảo riêng","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'private_island']","['villa', 'suite', 'island_villa']"
Amanoi Resort,Nha Trang,4.9,"['resort', 'luxury', 'wellness']",12.2388,109.1967,"Resort 5 sao wellness cao cấp","luxury_resort",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'wellness_programs', 'private_beach']","['villa', 'suite', 'wellness_villa']"
Six Senses Ninh Van Bay,Nha Trang,4.8,"['resort', 'luxury', 'eco']",12.2388,109.1967,"Resort 5 sao sinh thái","luxury_resort",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'eco_friendly', 'private_bay']","['villa', 'suite', 'eco_villa']"
Sheraton Nha Trang Hotel & Spa,Nha Trang,4.4,"['hotel', 'business', 'beachfront']",12.2388,109.1967,"Khách sạn 5 sao bãi biển","business_hotel",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['deluxe', 'suite', 'beach_suite']"
Mia Resort Nha Trang,Nha Trang,4.3,"['resort', 'midrange', 'beachfront']",12.2388,109.1967,"Resort 4 sao bãi biển boutique","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'beach_villa']"
Dalat Palace Heritage Hotel,Da Lat,4.6,"['hotel', 'luxury', 'historic']",11.9404,108.4583,"Khách sạn 5 sao lịch sử trên đồi","luxury_hotel",4.0,"['wifi', 'spa', 'restaurant', 'historic_tours', 'mountain_view']","['deluxe', 'suite', 'palace_suite']"
Ana Mandara Villas Dalat Resort & Spa,Da Lat,4.5,"['resort', 'luxury', 'villa']",11.9404,108.4583,"Resort 5 sao với villa riêng","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'private_villa']","['villa', 'suite', 'mountain_villa']"
Terracotta Hotel & Resort Dalat,Da Lat,4.3,"['resort', 'midrange', 'mountain']",11.9404,108.4583,"Resort 4 sao trên núi","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'mountain_view']","['standard', 'deluxe', 'mountain_villa']"
Sofitel Dalat Palace,Da Lat,4.4,"['hotel', 'luxury', 'colonial']",11.9404,108.4583,"Khách sạn 5 sao phong cách thuộc địa","luxury_hotel",4.0,"['wifi', 'spa', 'restaurant', 'colonial_style']","['deluxe', 'suite', 'colonial_suite']"
TTC Hotel - Ngoc Lan,Da Lat,4.1,"['hotel', 'midrange', 'modern']",11.9404,108.4583,"Khách sạn 4 sao hiện đại","midrange_hotel",2.0,"['wifi', 'restaurant', 'gym']","['standard', 'deluxe', 'family']"
JW Marriott Phu Quoc Emerald Bay Resort & Spa,Phu Quoc,4.8,"['resort', 'luxury', 'beachfront']",10.2899,103.9840,"Resort 5 sao bãi biển sang trọng","luxury_resort",5.0,"['wifi', 'spa', 'pool', 'restaurant', 'private_beach', 'golf']","['villa', 'suite', 'beach_villa']"
Salinda Resort Phu Quoc Island,Phu Quoc,4.6,"['resort', 'luxury', 'beachfront']",10.2899,103.9840,"Resort 5 sao với spa chuyên nghiệp","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['deluxe', 'suite', 'beach_villa']"
La Veranda Resort Phu Quoc,Phu Quoc,4.5,"['resort', 'luxury', 'colonial']",10.2899,103.9840,"Resort 5 sao phong cách thuộc địa","luxury_resort",4.0,"['wifi', 'spa', 'pool', 'restaurant', 'colonial_style']","['deluxe', 'suite', 'colonial_villa']"
Fusion Resort Phu Quoc,Phu Quoc,4.4,"['resort', 'midrange', 'wellness']",10.2899,103.9840,"Resort 4 sao tập trung wellness","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'wellness_programs']","['standard', 'deluxe', 'wellness_villa']"
Novotel Phu Quoc Resort,Phu Quoc,4.3,"['resort', 'midrange', 'beachfront']",10.2899,103.9840,"Resort 4 sao bãi biển hiện đại","midrange_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'beach_access']","['standard', 'deluxe', 'family']"
Vinpearl Resort & Spa Phu Quoc,Phu Quoc,4.2,"['resort', 'midrange', 'family']",10.2899,103.9840,"Resort 4 sao cho gia đình","family_resort",3.0,"['wifi', 'spa', 'pool', 'restaurant', 'kids_club', 'family_activities']","['standard', 'deluxe', 'family_villa']"
