name,city,rating,types,latitude,longitude,description,category,price_level,historical_period,special_features
Ho Chi Minh Mausoleum,Hanoi,4.7,"['monument', 'historical', 'memorial']",21.0369,105.8325,"Lăng Chủ tịch Hồ Chí Minh - nơi an nghỉ của Bác","historical_monument",1.0,"Modern","['mausoleum', 'memorial', 'historical_significance']"
Temple of Literature,Hanoi,4.6,"['temple', 'historical', 'educational']",21.0267,105.8361,"Văn Miếu - Quốc Tử Giám trường đại học đầu tiên","educational_temple",1.0,"Ancient","['university', 'confucius', 'educational_history']"
One Pillar Pagoda,Hanoi,4.5,"['pagoda', 'unique', 'historical']",21.0356,105.8322,"Chùa Một Cột với kiến trúc độc đáo","unique_pagoda",1.0,"Ancient","['lotus_architecture', 'unique_design', 'historical']"
Hanoi Old Quarter,Hanoi,4.4,"['district', 'historical', 'cultural']",21.0347,105.8328,"Phố cổ Hà Nội với 36 phố phường","historical_district",1.0,"Ancient","['36_streets', 'traditional_architecture', 'cultural_heritage']"
Imperial Citadel of Thang Long,Hanoi,4.5,"['citadel', 'unesco', 'historical']",21.0358047,105.8403473,"Hoàng thành Thăng Long di sản UNESCO","unesco_citadel",1.0,"Ancient","['unesco_world_heritage', 'imperial_city', 'archaeological']"
Notre Dame Cathedral,Ho Chi Minh City,4.6,"['cathedral', 'colonial', 'architectural']",10.7796,106.6992,"Nhà thờ Đức Bà Sài Gòn kiến trúc Pháp","colonial_cathedral",1.0,"Colonial","['french_architecture', 'neo_romanesque', 'colonial_heritage']"
Central Post Office,Ho Chi Minh City,4.5,"['building', 'colonial', 'architectural']",10.7796,106.6992,"Bưu điện Trung tâm kiến trúc Pháp","colonial_building",1.0,"Colonial","['french_architecture', 'postal_service', 'colonial_heritage']"
Independence Palace,Ho Chi Minh City,4.7,"['palace', 'historical', 'political']",10.777,106.6953,"Dinh Độc Lập nơi kết thúc chiến tranh","historical_palace",1.0,"Modern","['war_history', 'political_significance', 'architectural']"
Cu Chi Tunnels,Ho Chi Minh City,4.8,"['tunnels', 'war_history', 'underground']",10.777,106.6953,"Địa đạo Củ Chi hệ thống đường hầm","war_tunnels",2.0,"Modern","['underground_tunnels', 'war_history', 'military_engineering']"
War Remnants Museum,Ho Chi Minh City,4.4,"['museum', 'war_history', 'educational']",10.777,106.6953,"Bảo tàng Chứng tích Chiến tranh","war_museum",1.0,"Modern","['war_history', 'educational', 'historical_artifacts']"
