name,city,rating,types,latitude,longitude,description,category,price_level,amenities,room_types,cuisine_type,specialties,food_type,historical_period,special_features,entertainment_type,wellness_type,family_type,created_at
Hồ Gươm,Hanoi,4.5,"['lake', 'park', 'cultural']",21.0285,105.8542,Hồ nước nổi tiếng ở trung tâm Hà Nội với Tháp Rùa cổ kính,attraction,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Văn Miếu - Quốc Tử Giám,Hanoi,4.7,"['temple', 'cultural', 'historical']",21.0267,105.8361,"Trường đại học đầu tiên của Việt Nam, nơi thờ Khổng Tử",cultural,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chùa Một Cột,Hanoi,4.3,"['temple', 'cultural', 'historical']",21.0356,105.8322,Ngôi chùa độc đáo với kiến trúc hình hoa sen,religious,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Phố Cổ Hà Nội,Hanoi,4.4,"['cultural', 'historical', 'market']",21.0347,105.8328,Khu phố cổ với 36 phố phường truyền thống,cultural,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Lăng Chủ tịch Hồ Chí Minh,Hanoi,4.6,"['memorial', 'cultural', 'historical']",21.0369,105.8325,Nơi an nghỉ của Chủ tịch Hồ Chí Minh,memorial,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Nhà thờ Đức Bà Sài Gòn,Ho Chi Minh City,4.5,"['church', 'cultural', 'historical']",10.7796,106.6992,Nhà thờ Công giáo nổi tiếng với kiến trúc Pháp cổ,religious,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bưu điện Trung tâm Sài Gòn,Ho Chi Minh City,4.3,"['cultural', 'historical', 'architecture']",10.7796,106.6992,Công trình kiến trúc Pháp cổ đẹp mắt,cultural,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chợ Bến Thành,Ho Chi Minh City,4.2,"['market', 'cultural', 'shopping']",10.772,106.6983,Chợ truyền thống nổi tiếng của Sài Gòn,market,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Dinh Độc Lập,Ho Chi Minh City,4.4,"['palace', 'cultural', 'historical']",10.777,106.6953,"Cung điện lịch sử, nơi kết thúc chiến tranh Việt Nam",historical,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bitexco Financial Tower,Ho Chi Minh City,4.1,"['tower', 'modern', 'viewpoint']",10.7719,106.7042,Tòa nhà cao nhất TP.HCM với tầng quan sát,modern,3.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Hội An Ancient Town,Hoi An,4.8,"['historic', 'cultural', 'unesco']",15.8786049,108.3348312,Phố cổ Hội An được UNESCO công nhận di sản thế giới,unesco,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Chùa Cầu Hội An,Hoi An,4.6,"['bridge', 'cultural', 'historical']",15.8772,108.3308,Cây cầu cổ nổi tiếng với kiến trúc độc đáo,cultural,1.0,,,,,,,,,,,2025-10-07T21:05:56.402977
Bãi biển An Bang,Hoi An,4.4,"['beach', 'nature', 'relaxation']",15.9042,108.3456,Bãi biển đẹp gần Hội An với cát trắng mịn,beach,2.0,,,,,,,,,,,2025-10-07T21:05:56.402977
