name,city,rating,types,latitude,longitude,description,category,price_level,cuisine_type,specialties
Quan An Ngon,Hanoi,4.5,"['restaurant', 'traditional', 'local']",21.0255,105.8542,"Nhà hàng phở nổi tiếng nhất Hà Nội","traditional_restaurant",2.0,"Vietnamese","['pho_bo', 'pho_ga', 'bun_cha']"
Cha Ca La Vong,Hanoi,4.4,"['restaurant', 'historic', 'specialty']",21.0255,105.8542,"Nhà hàng chả cá lã Vọng lịch sử","specialty_restaurant",3.0,"Vietnamese","['cha_ca_la_vong', 'nem_cua_be']"
Bun Cha Huong Lien,Hanoi,4.6,"['restaurant', 'famous', 'local']",21.0255,105.8542,"Quán bún chả Obama đã ăn","famous_restaurant",1.0,"Vietnamese","['bun_cha', 'nem_ran']"
Com Ga Hai Nam,Hanoi,4.3,"['restaurant', 'chicken', 'local']",21.0255,105.8542,"Cơm gà Hải Nam nổi tiếng","chicken_restaurant",2.0,"Vietnamese","['com_ga_hai_nam', 'ga_nuong']"
Banh Cuon Ba Hoanh,Hanoi,4.2,"['restaurant', 'breakfast', 'local']",21.0255,105.8542,"Bánh cuốn bà Hoành ngon nhất","breakfast_restaurant",1.0,"Vietnamese","['banh_cuon', 'banh_xeo']"
Ngon Villa Saigon,Ho Chi Minh City,4.4,"['restaurant', 'traditional', 'upscale']",10.7796,106.6992,"Nhà hàng Việt Nam cao cấp","upscale_restaurant",3.0,"Vietnamese","['pho', 'bun_bo_hue', 'com_tam']"
Quan Ut Ut,Ho Chi Minh City,4.5,"['restaurant', 'bbq', 'popular']",10.7796,106.6992,"Quán BBQ nổi tiếng nhất Sài Gòn","bbq_restaurant",2.0,"Vietnamese","['thit_nuong', 'nem_nuong']"
Com Tam Cali,Ho Chi Minh City,4.3,"['restaurant', 'rice', 'local']",10.7796,106.6992,"Cơm tấm Cali ngon nhất","rice_restaurant",1.0,"Vietnamese","['com_tam', 'suon_nuong']"
Banh Mi Huynh Hoa,Ho Chi Minh City,4.6,"['restaurant', 'sandwich', 'famous']",10.7796,106.6992,"Bánh mì Huỳnh Hoa nổi tiếng","sandwich_shop",1.0,"Vietnamese","['banh_mi_thit', 'banh_mi_pate']"
Pho Le,Ho Chi Minh City,4.4,"['restaurant', 'pho', 'chain']",10.7796,106.6992,"Phở Lê chuỗi nổi tiếng","pho_chain",2.0,"Vietnamese","['pho_bo', 'pho_ga']"
